Nice sunscreen but pricey and makes face little shiny too,bioderma,avg,3.6
its good for dry skin,bioderma,good,4.7
"I like the high UVA protection that the suncream offers but it does give that whitecast, especially in the eyebrows and beard which looks quite bad. Also, sometimes it peels so bad that you regret applying it in the first place.",bioderma,bad,3.4
This sunscreen is extremly good at sun protection. The only thing which i doesnt liked was it leaves white patches on skin after applying,bioderma,avg,3.6
It has no scent so that's the best part actually product seems to be good but my skin just reacted little different and when informed the seller was kind enough to respond quick and resolve.,bioderma,good,4.8
Superb.  Go for it,bioderma,good,5
"It’s a good product recommended by my dermat, but needs to apply in intervals. Depends on skin type. Works perfect for combination skin.",bioderma,good,4.6
"Great packaging, Trusted and reliable technology for very high sun protection and this product is better in every aspect than the previous one, truly worth the extra 200INR, doesn't burn or sting in the eye for me, cream to fluid consistency, Provides one of the highest UVA Protection in the market.I hope they come out with bigger volume(100ml) packaging, that would be perfect.",bioderma,good,4.7
"I bought this after lot of deliberation and I am glad I did. I have very very dry skin so the sun cream I bought in past were sticky and would give me a feeling of sweaty, which was not a great feeling. I used this (almost finished) and I wouldn't mind a little bit of fragrance but this has none which is okay. It gives white cast after one spread and if you keep evenly spreading the cream on the face the white cast is gone (in few circular motions).  All in all I found this cream amazing.",bioderma,good,5
"I do recommend this sunscreen because it gives light and glossy finish to your skin.I think 50spf is suitable for indian skin.After applying this within few minutes sweat is on ,so tap with ur finger or with cotton fabric it will set quickly.This sunscreen will work great in winters",bioderma,good,5
I purchased this sunprotection cream for my sister as she has very sensitive skin. This is a nice cream and has good texture n is light in weight. It has nicely suited my sisters skin type. It is more water base n less greasy.,bioderma,good,5
"I am very particular about sunscreens, because I have combinstin skin so I always prefer non-sticky sunscreen and trust me it is one of them and my skin is feeling fresh  and breathing otherwise I always need wipe it off.",bioderma,good,5
"I love all bioderma products as it suits my sensitive skin. This sunscreen is also great, provides good sun protection (spf 50+) and is water resistant too. Good product overall.",bioderma,good,5
I am giving this review just after using the product only from a week and it was wonderful. It was absolutely ultra matt . Its spread is good as i took only 3 or 4 drop all over my face. It is completly perfect for all type of skin eother men can also use. Also i dnt feel sweat on face after applying it,bioderma,good,5
Good for dry skin,bioderma,good,5
"Good product, will recommend it.",bioderma,good,5
Very bad packaging and product looks like a copy of the origin. Doesn't look genuine.,bioderma,bad,3
"Bioderma spf50 phptoderm max cream completely suits my skin, smells good, light on skin, non-greasy and perfectly absorbs im the skin. Perfect for all those who drives bikes like me?? Overall nice product",bioderma,good,5
Best ever cream.. I used this. Totally satisfactory.. No chip chip no blackness. Fragrance is also have a soft scent I love this cream.,bioderma,good,5
I love this sunscreen,bioderma,good,5
Satisfied,bioderma,good,4.8
I am satisfied with bioderma SPF 50. It actually protects from harsh UV rays.,bioderma,good,4.8
Good,bioderma,good,5
Very greasy. Tends to break out . I had smooth skin. Lost d texture.,bioderma,bad,3
i have been using for 2 months now...excellent stuff.,bioderma,good,5
As if applied powder paste that will melt with just touch of water!!Wasted money.Submitted same on their official websites but no reply.,bioderma,bad,3
Very nice product.......dry touch texture is awesome,bioderma,good,5
Definitely buying it again,bioderma,good,5
"It’s really good! Would be perfect if the price were cheaper or the size were bigger. ?? My skin is sensitive. Wrong product will irritate it, cause acnes, or worse, make it darker. But this one feels so light, doesnt have any scent, and so far I dont have any problem using it. It doesnt leave much whitecast too ?? I am going to buy one more now since we’re going to beach soon. ??",bioderma,good,5
This cream is soo good for sensitive skin people. Best thing about this is that it already has spf so one doesn't need to apply it separately. Really good as it serves 2in1 purpose.,bioderma,good,5
This is one of the best sunscreen available for sensitive skin. There’s no white cast and the texture is very lightweight. Doesn’t feel heavy on the skin. Skin looks fresh and glowing. There’s a slight fragrance to it and it’s water resistant. Doesn’t make my skin oily or greasy at all and absorbs into the skin quickly.,bioderma,good,5
"ProsSpf 50, ppd 42New Chemical sunscreen filtersDecent Price (Rs 699)Cream based, blends easilyFragrance and Parabens freeNot greasy, a semi-matte finishCan be used dailyConsPiling when rubbed too hardNot water/sweat resistantSlight whitecastVideo uploaded of application. Photo of face after applying/blending the recommended amount of product.",bioderma,good,4.5
The cream was fine just like any other cream. I am a medium dark skinned person. I had to keep rubbing this cream for minutes trying to get rid of the white cast. The cast wasn’t too bad for those who use makeup they probably would get away with it. I don’t wear makeup all the time so I wasn’t very impressed.,bioderma,bad,3.7
